address,quantity
0x0001E1Ee4756e1ccE127A545851Ea3864B533027,333333
0x011465eBaE8A83Df7ff364563195F119068DA66A,333333
0x0118a6a436b06bdac507701e36994bd57cfaacde,333333
0x01561645BeA0F28710f7117754846c9211818d67,333333
0x016D933cF92434F2A2A4F6Ae973Adec154Ad2d69,333333
0x01D0F535f4aC2bF1866B5E4C927a214B7B7Fb8CD,333333
0x0334de12ffec55250c93f0b730837cdbb190bb34,333333
0x034B6E8e078C47ed499d411C06D23e40676b6c76,333333
0x0355ec056034bf5e7b275062ed0bb9ab33caa448,333333
0x03Bb17F8776881b185c4EE03eba372bA2b1320fD,333333
0x03e919A42E22206486F0E0A1Df9E5aca56CD7446,333333
0x04343F00B289347c9c8AB141FeCaAB614b80E6e7,333333
0x05d89702Ad4b1C8B816E658Ec40b148342c614d4,333333
0x0606dD88D2772969fe3e408eC73Da68775a8a918,333333
0x065e98D0Adb81a145609c28E4A6B48d9439a6DE8,333333
0x0856592477e6e1eCc759D69F43cc75f3d9c222aF,333333
0x085CfD763C270f166aE33D52c69072303890b954,333333
0x08CCEBEb6d0F5716E2EDB8AfccDdd7386274E645,333333
0x08eaEFa93Af6bD7B83810317A5f9F829CCEFD6a8,333333
0x092F190a527A5De46ea2515AEe748b87094A6CB5,333333
0x0963c09Cb5d3cE06962F15930d86EBd424203fE5,333333
0x0a8e6a445017368d0595fd939699787c0dcdebe0,333333
0x0aBfbD3Ba0150647BB68E96980faa46a8420ee42,333333
0x0BA64DDA393b07350c6868658fBabFC7c40Ac341,333333
0x0d23c377162b72119ecc022d28632545b3b828fe,333333
0x0E85699488afFc914a69040F92fF53232E36E518,333333
0x104e381661662D74eB3dabCc911363646F3fD217,333333
0x1082ff880cb6B623d15fa71D40511E0e55813eB7,333333
0x109521552f472b3c2eed0ff1d0b45a107ea008c5,333333
0x10A3Fa226B16547d59142Be3e1BDb7Ddc3eA33b3,333333
0x10ac1802F11616f141BF1459A9564C0307ACeDf2,333333
0x116c93aebd1508aee97d6c2f35ac4b87954069fd,333333
0x11925475EBd17C662409d2c0c352f144AB1cA637,333333
0x11dF11916C40Ab429F55f59D80d69d4b29359060,333333
0x12c7b32293B1082812E52f99F97474a085B790ea,333333
0x12Df6293bE92F5bEdbEe7767e441f710672E3f2B,333333
0x1302721Ea94Cf012509B19AC4Cc4f966440Ee54B,333333
0x149c09a195e55c2eB0385f5Cba56Fa6d5AE93690,333333
0x16A4Ccc6AE49eb635b610914cB7223C0C28Ba5ea,333333
0x17F5f067958E7e24F94853b40e3abe968943Edb2,333333
0x18693EE4F11CB416d19085bC3C7ebA7F59AdfA36,333333
0x186F1CA39F9E2Bcd8ECDC24DF0b7D42853fb999F,333333
0x18e8432a516755777C95E5AABD2eC0A7E942f885,333333
0x192C997071CDaB60303AD125543229f333568A70,333333
0x1b970872A0200bC51508b446015f659f844F96Bf,333333
0x1Ba15360B93e7ec0f04298410292513e2d131B0D,333333
0x1C4D0bc520c79b02480DBD35cb3f4DB1bF9b4293,333333
0x1C9ececA5A78f6264AE1Ad6911dbBdfc8A69aEA7,333333
0x1d8d6896B4FAdad6c7eaB742b215946A498fD09C,333333
0x1Dd19CfC54ee4D330060E2C7e8418c7C1b834E84,333333
0x1ec05eF28A893dcFA4e171c71FA85Af686332152,333333
0x20C5F6583154429c2d8E068c8D50349438319756,333333
0x20eFE3Df8F6A58d98a9F60CEF112AA74f9D074ea,333333
0x21D0CdCd972fE00dFF1Af3aDFa8938E295c5c483,333333
0x22ad1afc35cee2a8838dbc3b7cd20b3fa6ab3e11,333333
0x22Cc95730BC91bed0001D5352679f0E145957793,333333
0x23d7CD6e356634E10b8B1bB6e2f50C0D824645A8,333333
0x240CDCDA27F4DaCB12A859C2Fd0F3888dac77d90,333333
0x241D0009cB902C6694339b8582EE6E364292B476,333333
0x2475ebED7fDdBE7410d439F825d74fCAA4944541,333333
0x24B5Dcf88F3f5514F8f8eBc174f78C034D54387c,333333
0x2554A5CB04360bb5B0e6007D96C58e1e3Cb8fD06,333333
0x2598ac56be8a7744943F4EBBc8661853ff0227FB,333333
0x25e0a64D77C66148784341Bb98ad7927c02C7926,333333
0x26761ee15beed180a759c5907379b9a68fdf46b3,333333
0x26bE2C1c22c22590eE02172CbA2E1ca4ef1C735f,333333
0x2700bCF4D1c53326b7e5B6980574ee581E5c2E7D,333333
0x2720004c7b722a857e94fb9d175fddb566ea335a,333333
0x2788598BFA9966030370D254B3c3f49971a9874A,333333
0x2806926727D4F93bF6491BcfDd5308C17d752c63,333333
0x28ad8A9B94f02605F901589D4200Da4C62B29A94,333333
0x29BA3178d23a14e209F9695eEE42bf3788edD58b,333333
0x2a09945C2A37ec478247db7e86f61296304eE86d,333333
0x2A344fE652972D8495Dfba8346dB49ab06043Df1,333333
0x2B149696E9037977931964b4A9ab4c9Fcf1C4c04,333333
0x2b818499944F4dc9ae9FF1805b30829a9F91ccA9,333333
0x2B83F654B3aA613D91a49fc323EBF8edC5592734,333333
0x2c44586DD63e5b70BE47F20e7c83b1c2d45c3100,333333
0x2C48d82Caf2AA5a3879c3644B7775cF6B7a5377B,333333
0x2C5DF377Bb0cE1354Ea0096E4ca0FEEaDF7079bf,333333
0x2E5aDe6cbb0a595bfB2911cb57f98aBDC3d95397,333333
0x2ec992ef8a9d953e93da0d1405c5ef23ff3f56a3,333333
0x2f5793260dA8e62b117044973Aef2A73634C6384,333333
0x3172BAa7ee9F32e09014F89e3e090C8d5fb15e62,333333
0x32E566c74D84dF963ebae1991382E8A15Ea09870,333333
0x3326fF172Ea26d53D539bB82ff0C1391D965eA7D,333333
0x3400BEED92EEe00b0cc0c5b8661984E431Cb237f,333333
0x341109d3326CDfAe15c57b2bBecFE9d64a4948CC,333333
0x3460cD208C33ACfc4840e1431dD175cCccBA2300,333333
0x348Ae41a4b333241333f1B0c54BF24A0d8D0aCDA,333333
0x34ff2380BA7822c932453142B16fd87dB1cFE4e0,333333
0x35161D7C52f1395b794FA830041cD30Eb147e64e,333333
0x3535C5fB83efFE66a9A53aB3653Ba7eE3C51080A,333333
